GroupRef,Date,VisitTime,BurrowRef_New,BurrowRef,Longitude_New,Latitude_New,habitat,Date2,VisitTime2,BurrowRef_New2,BurrowRef2,Longitude_New2,Latitude_New2,BurrowChange,distance_m,GroupSize,nPups,Babysitting,anypups,PupPresence,year,month,breedingyear,season,GroupSize_z
18,01/05/2002,A,821,1051,21.82465003,-26.95703996,Shrubland,02/05/2002,A,224,895,21.82192449,-26.96122614,1,538,11,5,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,-0.299587797
36,01/05/2002,A,535,128,21.8291315,-26.96168957,White sand,02/05/2002,A,535,128,21.8291315,-26.96168957,0,0,18,0,N,N,neither,2002,5,2001/2002,May-Sep,0.734014433
18,02/05/2002,A,224,895,21.82192449,-26.96122614,Savanna,03/05/2002,A,9,293,21.82125259,-26.95888272,1,269,11,5,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,-0.299587797
36,02/05/2002,A,535,128,21.8291315,-26.96168957,White sand,03/05/2002,A,535,128,21.8291315,-26.96168957,0,0,18,0,N,N,neither,2002,5,2001/2002,May-Sep,0.734014433
8,03/05/2002,A,472,946,21.8282597,-26.98299184,White sand,03/05/2002,P,484,307,21.8289362,-26.97767034,1,596,26,4,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,1.915274125
18,03/05/2002,A,9,293,21.82125259,-26.95888272,Shrubland,03/05/2002,P,821,1051,21.82465003,-26.95703996,1,394,11,5,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,-0.299587797
41,03/05/2002,A,2030,1150,21.83415147,-26.98819513,Shrubland,03/05/2002,P,2030,1150,21.83415147,-26.98819513,0,0,6,5,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,-1.037875105
18,07/05/2002,A,821,1051,21.82465003,-26.95703996,Shrubland,08/05/2002,A,821,1051,21.82465003,-26.95703996,0,0,11,5,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,-0.299587797
9,08/05/2002,A,2200,303,21.84030487,-26.99283002,White sand,09/05/2002,A,2200,303,21.84030487,-26.99283002,0,0,33,11,Y,N,babysitting,2002,5,2001/2002,May-Sep,2.948876356
18,08/05/2002,A,821,1051,21.82465003,-26.95703996,Shrubland,09/05/2002,A,821,1051,21.82465003,-26.95703996,0,0,11,5,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,-0.299587797
18,09/05/2002,A,821,1051,21.82465003,-26.95703996,Shrubland,10/05/2002,A,9,293,21.82125259,-26.95888272,1,394,11,5,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,-0.299587797
7,11/05/2002,A,2017,445,21.84562398,-27.00641641,White sand,12/05/2002,A,2017,445,21.84562398,-27.00641641,0,0,18,0,Y,N,babysitting,2002,5,2001/2002,May-Sep,0.734014433
7,12/05/2002,A,2017,445,21.84562398,-27.00641641,White sand,13/05/2002,A,2017,445,21.84562398,-27.00641641,0,0,18,0,Y,N,babysitting,2002,5,2001/2002,May-Sep,0.734014433
18,12/05/2002,A,13,294,21.82130003,-26.96598337,Savanna,13/05/2002,A,13,294,21.82130003,-26.96598337,0,0,11,5,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,-0.299587797
40,12/05/2002,A,533,114,21.83574395,-26.97347618,White sand,13/05/2002,A,533,114,21.83574395,-26.97347618,0,0,19,0,Y,N,babysitting,2002,5,2001/2002,May-Sep,0.881671895
18,13/05/2002,A,13,294,21.82130003,-26.96598337,Savanna,14/05/2002,A,13,294,21.82130003,-26.96598337,0,0,11,5,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,-0.299587797
36,15/05/2002,A,535,128,21.8291315,-26.96168957,White sand,16/05/2002,A,465,373,21.8238198,-26.96278601,1,540,18,1,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,0.734014433
36,16/05/2002,A,465,373,21.8238198,-26.96278601,Shrubland,17/05/2002,A,535,128,21.8291315,-26.96168957,1,540,18,0,N,N,neither,2002,5,2001/2002,May-Sep,0.734014433
40,16/05/2002,A,533,114,21.83574395,-26.97347618,White sand,16/05/2002,P,533,114,21.83574395,-26.97347618,0,0,19,0,Y,N,babysitting,2002,5,2001/2002,May-Sep,0.881671895
9,17/05/2002,A,2200,303,21.84030487,-26.99283002,White sand,18/05/2002,A,2200,303,21.84030487,-26.99283002,0,0,39,8,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,3.834821124
10,18/05/2002,A,362,503,21.84199462,-26.95726175,Savanna,19/05/2002,A,453,336,21.84412153,-26.96022277,1,391,9,0,N,N,neither,2002,5,2001/2002,May-Sep,-0.59490272
40,18/05/2002,A,533,114,21.83574395,-26.97347618,White sand,19/05/2002,A,533,114,21.83574395,-26.97347618,0,0,19,0,Y,N,babysitting,2002,5,2001/2002,May-Sep,0.881671895
8,20/05/2002,A,472,946,21.8282597,-26.98299184,White sand,20/05/2002,P,472,946,21.8282597,-26.98299184,0,0,26,4,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,1.915274125
18,20/05/2002,A,467,941,21.82671424,-26.95626883,Savanna,21/05/2002,A,467,941,21.82671424,-26.95626883,0,0,11,5,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,-0.299587797
36,21/05/2002,A,538,18,21.83522271,-26.9652197,Shrubland,22/05/2002,A,538,18,21.83522271,-26.9652197,0,0,18,1,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,0.734014433
8,22/05/2002,A,489,300,21.82488196,-26.97856989,White sand,23/05/2002,A,489,300,21.82488196,-26.97856989,0,0,26,4,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,1.915274125
8,23/05/2002,A,489,300,21.82488196,-26.97856989,White sand,24/05/2002,A,489,300,21.82488196,-26.97856989,0,0,26,4,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,1.915274125
8,24/05/2002,A,489,300,21.82488196,-26.97856989,White sand,25/05/2002,A,483,949,21.8292449,-26.97992558,1,458,26,4,N,Y,pups_foraging,2002,5,2001/2002,May-Sep,1.915274125
