SessionID,GroupRef,GroupName,Date,Time,Distance_lead,TimeDiff_lead,Speed,nPoints,GPS_Longitude,GPS_Latitude,BurrowLeaveTime,BurrowRef,BurrowNumber,BurrowLatitude,BurrowLongitude,distburrow,TimeForaging,GroupSize,nPups,month,year,breedingyear,season,Babysitting,anypups,PupPresence,habitat
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 09:30,56.18635276,15,3.745756851,14,21.846399,-26.9656135,08/06/2002 09:30,NA,NA,NA,NA,NA,0,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 09:45,13.46693167,15,0.897795445,14,21.846104,-26.965182,08/06/2002 09:30,NA,NA,NA,NA,NA,15,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 10:00,28.70597391,15,1.913731594,14,21.846004,-26.965264,08/06/2002 09:30,NA,NA,NA,NA,NA,30,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 10:15,37.82222726,15,2.521481817,14,21.845864,-26.96549,08/06/2002 09:30,NA,NA,NA,NA,NA,45,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 10:30,73.06325781,15,4.870883854,14,21.846008,-26.965805,08/06/2002 09:30,NA,NA,NA,NA,NA,60,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 10:45,10.29246625,15,0.686164417,14,21.845851,-26.966447,08/06/2002 09:30,NA,NA,NA,NA,NA,75,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 11:00,53.30899868,15,3.553933245,14,21.845832,-26.966538,08/06/2002 09:30,NA,NA,NA,NA,NA,90,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 11:15,7.195085908,15,0.479672394,14,21.846297,-26.966779,08/06/2002 09:30,NA,NA,NA,NA,NA,105,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 11:30,49.64191636,15,3.309461091,14,21.846257,-26.966833,08/06/2002 09:30,NA,NA,NA,NA,NA,120,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 11:45,15.65624044,15,1.043749363,14,21.846672,-26.967083,08/06/2002 09:30,NA,NA,NA,NA,NA,135,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 12:00,134.8372862,15,8.989152413,14,21.846572,-26.967192,08/06/2002 09:30,NA,NA,NA,NA,NA,150,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 12:15,25.41070982,15,1.694047321,14,21.847911,-26.966977,08/06/2002 09:30,NA,NA,NA,NA,NA,165,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-06-08,10,Gattaca,08/06/2002,08/06/2002 12:30,49.46890468,15,3.297926979,14,21.847949,-26.966751,08/06/2002 09:30,NA,NA,NA,NA,NA,180,9,0,6,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-07-06,10,Gattaca,06/07/2002,06/07/2002 10:00,23.94825496,15,1.596550331,10,21.8414365,-26.9568305,06/07/2002 09:00,NA,NA,NA,NA,NA,0,9,0,7,2002,2001/2002,May-Sep,N,N,neither,White sand
10 2002-07-06,10,Gattaca,06/07/2002,06/07/2002 10:15,34.50938265,15,2.30062551,10,21.841507,-26.9566245,06/07/2002 09:00,NA,NA,NA,NA,NA,15,9,0,7,2002,2001/2002,May-Sep,N,N,neither,Shrubland
10 2002-07-06,10,Gattaca,06/07/2002,06/07/2002 10:30,36.97314091,15,2.464876061,10,21.8412025,-26.956474,06/07/2002 09:00,NA,NA,NA,NA,NA,30,9,0,7,2002,2001/2002,May-Sep,N,N,neither,White sand
10 2002-07-06,10,Gattaca,06/07/2002,06/07/2002 10:45,15.350153,15,1.023343533,10,21.841361,-26.956173,06/07/2002 09:00,NA,NA,NA,NA,NA,45,9,0,7,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-07-06,10,Gattaca,06/07/2002,06/07/2002 11:00,21.56634943,15,1.437756628,10,21.8414395,-26.956054,06/07/2002 09:00,NA,NA,NA,NA,NA,60,9,0,7,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-07-06,10,Gattaca,06/07/2002,06/07/2002 11:15,11.98507398,15,0.799004932,10,21.8412895,-26.9559135,06/07/2002 09:00,NA,NA,NA,NA,NA,75,9,0,7,2002,2001/2002,May-Sep,N,N,neither,Savanna
10 2002-07-06,10,Gattaca,06/07/2002,06/07/2002 11:30,18.23616509,15,1.215744339,10,21.8412265,-26.9558215,06/07/2002 09:00,NA,NA,NA,NA,NA,90,9,0,7,2002,2001/2002,May-Sep,N,N,neither,Savanna
