IndividID,GroupRef,Date,Age_years,Sex,WeightGain_g,RateWeightGain_ghr,SessionID,GroupName,GroupSize,Pups,habitat,Count,month,year,breedingyear,season,Babysitting,anypups,PupPresence
916,18,18/05/2002,2.54072553,F,43,11.07296137,18 2002-05-18,Lazuli,16,0,Savanna,10,5,2002,2001/2002,May-Sep,N,N,neither
924,18,18/05/2002,1.815195072,F,12,3.185840708,18 2002-05-18,Lazuli,16,0,Savanna,10,5,2002,2001/2002,May-Sep,N,N,neither
925,18,18/05/2002,1.815195072,F,16,4.173913043,18 2002-05-18,Lazuli,16,0,Savanna,10,5,2002,2001/2002,May-Sep,N,N,neither
927,18,18/05/2002,1.593429158,F,28,7.336244541,18 2002-05-18,Lazuli,16,0,Savanna,10,5,2002,2001/2002,May-Sep,N,N,neither
1381,18,18/05/2002,4.733744011,M,16,4.155844156,18 2002-05-18,Lazuli,16,0,Savanna,10,5,2002,2001/2002,May-Sep,N,N,neither
1389,18,18/05/2002,4.109514031,M,9,2.29787234,18 2002-05-18,Lazuli,16,0,Savanna,10,5,2002,2001/2002,May-Sep,N,N,neither
1399,18,18/05/2002,2.806297057,M,39,10.0862069,18 2002-05-18,Lazuli,16,0,Savanna,10,5,2002,2001/2002,May-Sep,N,N,neither
1404,18,18/05/2002,2.105407255,M,18,4.615384615,18 2002-05-18,Lazuli,16,0,Savanna,10,5,2002,2001/2002,May-Sep,N,N,neither
916,18,30/05/2002,2.57357974,F,47,15.32608696,18 2002-05-30,Lazuli,16,0,Savanna,6,5,2002,2001/2002,May-Sep,N,N,neither
924,18,30/05/2002,1.848049281,F,17,5.368421053,18 2002-05-30,Lazuli,16,0,Savanna,6,5,2002,2001/2002,May-Sep,N,N,neither
925,18,30/05/2002,1.848049281,F,37,11.74603175,18 2002-05-30,Lazuli,16,0,Savanna,6,5,2002,2001/2002,May-Sep,N,N,neither
927,18,30/05/2002,1.626283368,F,6,1.988950276,18 2002-05-30,Lazuli,16,0,Savanna,6,5,2002,2001/2002,May-Sep,N,N,neither
1381,18,30/05/2002,4.76659822,M,16,5.13368984,18 2002-05-30,Lazuli,16,0,Savanna,6,5,2002,2001/2002,May-Sep,N,N,neither
1389,18,30/05/2002,4.142368241,M,6,2,18 2002-05-30,Lazuli,16,0,Savanna,6,5,2002,2001/2002,May-Sep,N,N,neither
1398,18,30/05/2002,2.839151266,M,14,4.615384615,18 2002-05-30,Lazuli,16,0,Savanna,6,5,2002,2001/2002,May-Sep,N,N,neither
1399,18,30/05/2002,2.839151266,M,18,5.744680851,18 2002-05-30,Lazuli,16,0,Savanna,6,5,2002,2001/2002,May-Sep,N,N,neither
1404,18,30/05/2002,2.138261465,M,18,5.654450262,18 2002-05-30,Lazuli,16,0,Savanna,6,5,2002,2001/2002,May-Sep,N,N,neither
1381,18,31/05/2002,4.769336071,M,49,11.05263158,18 2002-05-31,Lazuli,16,0,Savanna,10,5,2002,2001/2002,May-Sep,N,N,neither
1399,18,31/05/2002,2.841889117,M,33,7.5,18 2002-05-31,Lazuli,16,0,Savanna,10,5,2002,2001/2002,May-Sep,N,N,neither
96,10,08/06/2002,6.217659138,M,7,1.686746988,10 2002-06-08,Gattaca,9,0,Savanna,14,6,2002,2001/2002,May-Sep,N,N,neither
1385,10,08/06/2002,4.342231348,M,15,3.543307087,10 2002-06-08,Gattaca,9,0,Savanna,14,6,2002,2001/2002,May-Sep,N,N,neither
1403,10,08/06/2002,2.162902122,M,32,7.773279352,10 2002-06-08,Gattaca,9,0,Savanna,14,6,2002,2001/2002,May-Sep,N,N,neither
1409,10,08/06/2002,1.577002053,M,28,6.693227092,10 2002-06-08,Gattaca,9,0,Savanna,14,6,2002,2001/2002,May-Sep,N,N,neither
1469,10,08/06/2002,3.808350445,F,33,8.048780488,10 2002-06-08,Gattaca,9,0,Savanna,14,6,2002,2001/2002,May-Sep,N,N,neither
916,18,11/06/2002,2.606433949,F,16,4.120171674,18 2002-06-11,Lazuli,16,0,Savanna,7,6,2002,2001/2002,May-Sep,N,N,neither
924,18,11/06/2002,1.880903491,F,3,0.743801653,18 2002-06-11,Lazuli,16,0,Savanna,7,6,2002,2001/2002,May-Sep,N,N,neither
925,18,11/06/2002,1.880903491,F,1,0.260869565,18 2002-06-11,Lazuli,16,0,Savanna,7,6,2002,2001/2002,May-Sep,N,N,neither
1381,18,11/06/2002,4.79945243,M,34,8.793103448,18 2002-06-11,Lazuli,16,0,Savanna,7,6,2002,2001/2002,May-Sep,N,N,neither
1389,18,11/06/2002,4.17522245,M,-16,-4.016736402,18 2002-06-11,Lazuli,16,0,Savanna,7,6,2002,2001/2002,May-Sep,N,N,neither
1398,18,11/06/2002,2.872005476,M,3,0.786026201,18 2002-06-11,Lazuli,16,0,Savanna,7,6,2002,2001/2002,May-Sep,N,N,neither
1399,18,11/06/2002,2.872005476,M,29,7.404255319,18 2002-06-11,Lazuli,16,0,Savanna,7,6,2002,2001/2002,May-Sep,N,N,neither
1391,36,20/06/2002,3.529089665,M,0,0,36 2002-06-20,Whiskers,18,0,Savanna,12,6,2002,2001/2002,May-Sep,N,N,neither
1392,36,20/06/2002,3.529089665,M,43,13.03030303,36 2002-06-20,Whiskers,18,0,Savanna,12,6,2002,2001/2002,May-Sep,N,N,neither
1395,36,20/06/2002,3.315537303,M,18,5.142857143,36 2002-06-20,Whiskers,18,0,Savanna,12,6,2002,2001/2002,May-Sep,N,N,neither
